id,time,class,var1,var2,var3,var4,var5,var6
5,13,3,-2,2,58,-8,-4,-1
5,14,3,-1,0,70,-5,-2,-1
5,15,3,-1,0,64,-5,0,-1
6,1,3,0,2,67,-11,-3,0
6,2,3,-1,0,56,-7,-3,-1
6,3,3,-1,1,65,-10,-6,-1
6,4,3,-1,3,63,-13,-6,0
6,5,3,-2,2,59,-8,-4,0
6,6,3,-1,-1,60,-5,-5,0
6,7,3,-2,2,61,-13,-5,0
6,8,3,0,1,56,-8,-3,-1
6,9,3,-1,1,56,-8,-3,0
6,10,3,-2,1,56,-10,-3,0
6,11,3,-1,0,59,-9,-4,0
6,12,3,-1,0,57,-9,-4,-1
6,13,3,-1,0,59,-11,-4,-1
6,14,3,-2,2,54,-10,-5,1
6,15,3,-3,2,50,-13,-6,-1
7,1,3,-1,1,58,-8,-4,1
7,2,3,-2,0,57,-7,-3,1
7,3,3,0,0,63,-11,-6,0
7,4,3,-2,-1,64,-9,-6,1
7,5,3,-2,0,54,-9,-5,1
7,6,3,-1,-1,57,-9,-4,0
7,7,3,-2,2,58,-10,-5,1
7,8,3,0,-3,63,-7,-1,0
7,9,3,-1,0,57,-8,-3,1
7,10,3,0,0,60,-10,-5,0
7,11,3,-1,1,56,-10,-3,0
7,12,3,0,0,55,-8,-3,2
7,13,3,-1,-1,50,-7,-2,-1
7,14,3,-1,-2,57,-6,-4,0
7,15,3,0,2,63,-12,-2,1
8,1,1,185,105,118,-180,374,12
8,2,1,-10,5,75,-36,34,-2
8,3,1,-1,-4,43,1,-8,0
8,4,1,-10,-2,64,3,-19,0
8,5,1,0,-2,66,1,0,0
8,6,1,0,1,58,-5,2,-1
8,7,1,0,-5,61,2,-2,1
8,8,1,0,-4,57,1,-4,0
8,9,1,-1,-1,59,-1,-4,0
8,10,1,-1,1,64,-5,-6,1
8,11,1,0,0,67,-6,-3,0
8,12,1,-4,0,61,-5,-7,0
8,13,1,-3,1,60,-6,-4,0
8,14,1,-1,0,57,-4,-4,-1
8,15,1,1,1,65,-6,2,0
9,1,1,-21,-50,46,-180,266,98
9,2,1,-119,2,146,5,-115,-14
9,3,1,-38,-10,43,-8,-27,-4
9,4,1,3,9,66,-5,-3,-2
9,5,1,5,12,59,-16,11,1
9,6,1,-9,2,73,-2,-13,0
9,7,1,0,-4,51,5,-2,0
9,8,1,13,-3,66,3,18,0
9,9,1,8,-1,66,1,12,1
9,10,1,-5,0,54,-1,-7,0
9,11,1,-3,-1,63,1,-5,-1
9,12,1,-7,-2,65,3,-8,0
9,13,1,-1,-1,61,2,-1,0
9,14,1,-1,1,65,-2,-3,0
9,15,1,4,1,64,-2,7,1
10,1,1,112,-54,85,-77,284,-3
10,2,1,-5,-36,56,123,-115,-29
10,3,1,5,-24,74,50,-19,-2
10,4,1,7,-12,65,5,26,1
10,5,1,-2,-7,57,11,-3,0
10,6,1,-4,5,66,-7,-8,0
10,7,1,-2,4,57,-2,0,0
10,8,1,-4,4,65,-8,-6,0
10,9,1,-3,3,52,-3,-3,1
10,10,1,-2,3,57,-3,-1,0
10,11,1,1,1,64,1,2,1
10,12,1,1,1,60,-1,3,0
10,13,1,0,0,56,0,3,0
10,14,1,-1,2,63,-3,-1,-1
10,15,1,-1,4,59,-2,-1,1
11,1,1,-133,-34,18,21,131,-41
11,2,1,21,6,79,-36,59,-2
11,3,1,14,17,69,-45,13,-5
11,4,1,6,1,56,-5,7,7
11,5,1,15,-3,51,0,17,-2
11,6,1,10,-4,52,-2,8,-3
11,7,1,5,-6,63,2,3,1
11,8,1,0,-4,61,-1,-3,-2
11,9,1,-1,-1,61,-5,-6,-1
11,10,1,-1,1,61,-10,-6,-1
11,11,1,1,0,66,-10,-4,1
11,12,1,1,-3,59,-3,-2,0
11,13,1,-1,2,59,-12,-6,0
11,14,1,0,1,58,-9,-5,-1
11,15,1,0,0,60,-8,-6,-1
12,1,1,-10,-2,27,-17,8,3
12,2,1,22,-4,61,-6,28,1
12,3,1,22,4,62,-12,24,1
12,4,1,11,-5,55,-1,10,0
12,5,1,3,-13,61,10,-1,1
12,6,1,6,-8,57,5,4,0
12,7,1,8,-3,57,-1,9,1
12,8,1,0,-5,60,-1,-4,0
12,9,1,-5,-4,57,-4,-11,1
12,10,1,-4,-3,66,-2,-8,-1
12,11,1,1,0,59,-9,-6,-1
12,12,1,-3,6,64,-21,-17,-3
12,13,1,3,0,59,-8,-3,0
12,14,1,-2,0,60,-9,-7,1
12,15,1,-2,2,61,-12,-6,0
13,1,1,-14,-10,52,15,-77,0
13,2,1,-22,-14,47,8,-31,2
13,3,1,-3,9,62,-23,-1,-1
13,4,1,0,8,59,-19,-1,-1
13,5,1,-10,4,60,-13,-16,0
13,6,1,-1,4,57,-13,-3,-2
13,7,1,2,6,66,-15,1,0
13,8,1,1,4,57,-12,2,0
13,9,1,-1,2,53,-8,-5,0
13,10,1,-3,-1,57,-5,-7,-1
13,11,1,0,1,68,-8,-2,-1
13,12,1,-1,2,57,-10,-6,-1
13,13,1,-1,0,67,-9,-6,0
13,14,1,1,1,61,-9,-3,-1
13,15,1,1,0,65,-9,-2,-1
14,1,1,3,-33,32,41,2,-1
14,2,1,9,-25,54,26,7,0
14,3,1,7,-12,44,-2,11,-1
14,4,1,3,-16,54,12,2,1
14,5,1,1,-17,56,12,1,1
14,6,1,2,-9,65,3,-2,-1
14,7,1,3,-5,53,-3,3,1
14,8,1,4,-7,56,-2,-1,-1
14,9,1,2,-9,49,3,2,0
14,10,1,2,-8,55,-1,-4,-2
14,11,1,2,-6,59,-3,-2,-1
14,12,1,2,-5,53,-3,-1,0
14,13,1,2,-3,46,-8,-3,0
14,14,1,1,-2,59,-4,-2,-1
14,15,1,0,-2,54,-11,-5,0
15,1,1,-93,76,80,-123,-151,-1
15,2,1,-20,63,62,-108,-30,-1
15,3,1,11,44,57,-64,15,-1
15,4,1,11,16,66,-27,7,0
15,5,1,0,0,58,-8,-4,0
15,6,1,3,-2,61,-7,-1,0
15,7,1,8,-3,63,-5,8,-1
15,8,1,7,1,59,-11,7,1
15,9,1,-3,0,59,-9,-9,-1
15,10,1,-6,2,57,-13,-13,-1
15,11,1,-2,4,74,-17,-7,0
15,12,1,3,6,59,-17,2,0
15,13,1,2,4,59,-14,1,-1
15,14,1,-1,2,61,-11,-3,-1
15,15,1,-2,1,64,-10,-6,0
16,1,4,-8,20,-5,-26,-10,-1
16,2,4,-10,22,-4,-22,-9,-2
16,3,4,-10,17,-4,-16,-10,-1
16,4,4,-9,15,0,-11,-6,0
16,5,4,-3,19,-21,12,21,-2
16,6,4,-38,130,-786,191,315,29
16,7,4,-30,139,-1235,472,601,39
16,8,4,-31,31,-39,-11,-3,3
16,9,4,-14,18,-21,24,22,8
16,10,4,-3,14,5,6,5,-4
16,11,4,-6,8,3,12,4,-1
16,12,4,-3,3,4,16,6,-2
16,13,4,0,5,10,17,6,-3
16,14,4,-3,5,10,14,2,-2
16,15,4,-3,3,10,16,4,-3
17,1,4,11,-3,-301,-267,-88,-16
17,2,4,28,-103,-826,-278,-237,6
17,3,4,46,-217,-1218,-147,-345,40
17,4,4,17,-95,-621,-164,-226,40
17,5,4,-6,10,-77,-103,-56,-6
17,6,4,-5,13,-104,-129,-60,-1
17,7,4,1,6,-112,-142,-66,-2
17,8,4,1,5,-111,-146,-58,-5
17,9,4,3,4,-113,-146,-54,-4
17,10,4,3,4,-115,-143,-58,-4
17,11,4,1,3,-116,-145,-61,-5
17,12,4,2,3,-119,-149,-62,-5
17,13,4,2,3,-118,-150,-60,-5
17,14,4,2,3,-117,-148,-58,-5
17,15,4,2,3,-118,-148,-58,-5
18,1,4,5,-4,-345,-185,0,0
18,2,4,-21,-59,-1162,-239,2,-5
18,3,4,-22,-106,-1360,-82,27,1
18,4,4,8,-46,100,52,-6,-9
18,5,4,1,-38,38,49,1,-1
18,6,4,13,-13,56,7,17,-2
18,7,4,3,-13,54,8,1,-1
18,8,4,1,-9,58,5,-1,-1
18,9,4,4,-5,60,-1,3,-1
18,10,4,2,-4,61,-3,1,-1
18,11,4,-2,-1,58,-7,-6,-2
18,12,4,-4,0,60,-8,-9,-1
18,13,4,-3,0,59,-9,-6,-1
18,14,4,-1,1,61,-8,-4,-1
18,15,4,1,0,60,-8,-2,-1
19,1,3,0,2,50,-13,-4,-1
19,2,3,0,0,58,-8,-3,-2
19,3,3,0,0,67,-11,-3,-1
19,4,3,0,-1,52,-7,-4,-1
19,5,3,0,0,56,-8,-6,-2
19,6,3,-1,1,64,-11,-5,-1
19,7,3,0,0,68,-9,-5,-1
19,8,3,-1,3,59,-16,-8,-1
19,9,3,0,0,68,-13,-4,-1
19,10,3,-1,1,59,-11,-3,-1
19,11,3,0,0,56,-11,-6,-2
19,12,3,-1,2,60,-13,-3,-2
19,13,3,0,3,61,-15,-3,-1
19,14,3,-1,3,63,-16,-8,-1
19,15,3,-1,2,64,-14,-5,-1
20,1,3,0,2,61,-12,-2,5
20,2,3,-1,0,60,-6,-3,0
20,3,3,-1,1,53,-8,-5,3
20,4,3,1,-2,66,-6,-2,-1
20,5,3,1,-1,60,-9,-3,-1
20,6,3,0,0,64,-9,-1,-1
20,7,3,0,0,57,-8,-4,-1
20,8,3,-1,1,64,-12,-4,-1
20,9,3,-1,1,66,-9,-4,-1
20,10,3,0,1,66,-13,-5,-1
20,11,3,-1,1,59,-12,-4,-1
20,12,3,-1,1,66,-12,-5,0
20,13,3,0,1,65,-12,-3,-2
20,14,3,1,1,63,-10,-2,-1
20,15,3,-1,0,64,-9,-5,-1
21,1,4,1,0,57,8,5,7
21,2,4,-1,0,54,11,6,8
21,3,4,-11,38,-364,207,62,4
21,4,4,-77,175,-1133,383,-14,-25
21,5,4,-90,142,-1130,523,-21,-36
21,6,4,-37,59,-127,22,25,33
21,7,4,-2,6,-53,86,18,3
21,8,4,4,2,-17,53,38,10
21,9,4,3,1,-15,53,30,7
21,10,4,3,2,-23,56,33,10
21,11,4,4,5,-36,61,38,12
21,12,4,2,5,-36,60,37,10
21,13,4,3,4,-27,59,34,10
21,14,4,2,2,-20,58,33,9
21,15,4,3,2,-21,59,32,9
22,1,4,-6,27,-288,140,23,-2
22,2,4,-80,162,-1077,385,-38,-33
22,3,4,-102,158,-1264,543,-43,-43
22,4,4,64,-61,-95,142,91,15
22,5,4,-2,3,-67,93,45,22
22,6,4,7,6,-90,111,37,-1
22,7,4,5,6,-101,112,47,7
22,8,4,4,6,-108,116,49,8
22,9,4,2,3,-97,114,45,7
22,10,4,3,2,-93,110,45,7
22,11,4,4,2,-91,109,48,7
22,12,4,5,4,-97,109,52,10
22,13,4,5,5,-100,110,53,9
22,14,4,4,4,-99,108,53,10
22,15,4,5,5,-97,109,53,9
23,1,4,-13,-12,-558,-450,-108,21
23,2,4,-19,-69,-738,-430,-128,23
23,3,4,-20,-148,-923,-396,-156,36
23,4,4,-32,-176,-1168,-495,-210,52
23,5,4,-36,-192,-1286,-560,-232,55
23,6,4,27,-68,-588,-331,-39,17
23,7,4,-6,-72,-588,-378,-65,2
23,8,4,1,-35,-603,-403,-68,13
23,9,4,3,-48,-581,-381,-52,6
23,10,4,1,-46,-598,-397,-57,6
23,11,4,2,-49,-590,-390,-64,10
23,12,4,2,-46,-594,-393,-60,8
23,13,4,2,-47,-584,-387,-56,8
23,14,4,2,-45,-586,-386,-58,8
23,15,4,1,-45,-581,-383,-59,8
24,1,4,-1,-86,-628,-338,-98,16
24,2,4,-35,-79,-685,-418,-206,46
24,3,4,-78,-159,-1032,-535,-395,104
24,4,4,-60,-113,-800,-453,-302,76
24,5,4,-92,-195,-1274,-672,-468,123
24,6,4,-66,-110,-614,-340,-284,83
24,7,4,27,-38,-640,-498,-38,3
24,8,4,4,-44,-654,-476,-88,9
24,9,4,11,-50,-606,-445,-70,3
24,10,4,13,-63,-598,-425,-63,2
24,11,4,11,-58,-601,-429,-64,3
24,12,4,10,-53,-595,-425,-63,3
24,13,4,10,-56,-599,-427,-65,3
24,14,4,10,-57,-599,-426,-67,4
24,15,4,11,-58,-601,-429,-64,3
25,1,4,-37,26,-779,-150,5,3
25,2,4,-51,23,-1340,-185,1,4
25,3,4,-7,31,0,-51,-16,-1
25,4,4,-7,32,52,-50,-12,-1
25,5,4,-2,21,58,-37,-4,0
25,6,4,-5,12,58,-26,-10,0
25,7,4,-3,8,57,-18,-8,0
25,8,4,-1,6,56,-18,-8,0
25,9,4,-1,6,56,-18,-8,0
25,10,4,0,4,58,-14,-4,0
25,11,4,0,0,59,-11,-3,0
25,12,4,1,1,59,-10,-2,0
25,13,4,0,0,58,-10,-2,0
25,14,4,-1,-1,58,-8,-5,0
25,15,4,-2,-1,54,-8,-7,0
26,1,4,-18,-9,46,-4,-11,-2
26,2,4,-6,-12,62,8,-16,2
26,3,4,35,20,-650,-97,-427,-13
26,4,4,68,47,-1145,-131,-633,-32
26,5,4,52,25,-877,-117,-530,-17
26,6,4,-16,6,0,5,-45,-4
26,7,4,-8,-16,72,11,-14,-1
26,8,4,-6,1,60,-12,-13,-1
26,9,4,-10,-3,58,-5,-16,-1
26,10,4,-8,-2,55,-7,-14,0
26,11,4,-5,-2,58,-5,-11,0
26,12,4,-2,-1,57,-7,-9,-1
26,13,4,1,2,53,-10,-7,0
26,14,4,-1,2,56,-11,-8,-1
26,15,4,-1,0,56,-10,-8,0
27,1,2,0,0,50,-11,-7,0
27,2,2,1,-3,47,-9,-7,0
27,3,2,1,0,42,-15,-6,-1
27,4,2,-1,1,34,-18,-10,0
27,5,2,-1,-1,46,-13,-11,1
27,6,2,-1,-1,44,-14,-9,2
27,7,2,-3,-1,37,-13,-13,2
27,8,2,-5,-1,36,-17,-24,2
27,9,2,-4,-4,30,-14,-21,2
27,10,2,-2,-6,22,-14,-22,3
27,11,2,-5,-6,9,-20,-27,3
27,12,2,-5,-7,-2,-25,-33,4
27,13,2,-5,-4,-11,-39,-38,3
27,14,2,-9,-4,-14,-46,-48,2
27,15,2,-12,-2,-33,-55,-59,4
28,1,4,-14,-4,-51,-62,-70,6
28,2,4,-14,-9,-67,-62,-79,9
28,3,4,-16,-9,-84,-69,-87,9
28,4,4,-14,-8,-103,-83,-87,8
28,5,4,-11,-6,-124,-103,-84,6
28,6,4,-7,-6,-149,-122,-79,4
28,7,4,0,-8,-177,-134,-71,1
28,8,4,2,-9,-215,-152,-69,-1
28,9,4,5,-10,-260,-183,-78,-1
28,10,4,6,-10,-323,-220,-97,0
28,11,4,8,-12,-396,-261,-115,1
28,12,4,10,-11,-477,-306,-134,-1
28,13,4,13,-22,-605,-370,-171,-3
28,14,4,17,-49,-768,-396,-215,3
28,15,4,24,-127,-866,-259,-238,25
29,1,4,-1,-1,61,-5,-1,-1
29,2,4,-2,-1,58,-6,-4,0
29,3,4,6,4,-49,-57,-27,-2
29,4,4,14,13,-887,-220,-184,-14
29,5,4,20,-25,-1326,-166,-275,-4
29,6,4,-21,29,34,-61,-45,-3
29,7,4,3,-9,67,26,3,0
29,8,4,8,4,56,-11,10,-1
29,9,4,2,-2,59,-4,1,-1
29,10,4,-1,-4,54,-5,-3,-1
29,11,4,2,-2,58,-5,-2,-1
29,12,4,1,0,59,-7,-1,0
29,13,4,-1,1,61,-8,-4,0
29,14,4,-2,2,63,-8,-5,-1
29,15,4,-1,2,61,-9,-4,-1
30,1,4,-3,0,44,-11,-8,-2
30,2,4,0,-4,30,-5,-6,-2
30,3,4,-3,1,33,-15,-8,-2
30,4,4,-2,-1,23,-13,-9,-2
30,5,4,-3,0,15,-16,-14,-1
30,6,4,-2,0,-2,-19,-15,-2
30,7,4,-3,-1,-59,-27,-23,-2
30,8,4,-4,-2,-110,-33,-29,-2
30,9,4,-4,-3,-189,-46,-36,-3
30,10,4,-4,0,-297,-69,-39,-6
30,11,4,-1,3,-457,-106,-44,-9
30,12,4,0,7,-683,-144,-52,-14
30,13,4,2,12,-991,-197,-70,-20
30,14,4,0,6,-1368,-190,-80,-24
30,15,4,-3,-10,-1547,-127,-70,-25
31,1,3,-1,2,56,-11,-2,-1
31,2,3,-1,0,58,-8,-6,0
31,3,3,-4,1,57,-13,-8,-1
31,4,3,-2,1,53,-12,-7,-1
31,5,3,-2,1,51,-11,-6,-1
31,6,3,-2,2,57,-14,-8,-1
31,7,3,-2,0,58,-12,-8,-1
31,8,3,-1,2,54,-14,-8,-1
31,9,3,-2,3,57,-17,-8,0
31,10,3,-2,5,53,-20,-7,-1
31,11,3,-3,2,53,-16,-9,-1
31,12,3,-2,2,52,-18,-9,-1
31,13,3,-1,-1,54,-12,-8,0
31,14,3,-2,1,56,-16,-8,-1
31,15,3,-1,0,50,-16,-9,0
32,1,2,-13,15,-2,-88,-51,3
32,2,2,-14,17,0,-95,-54,4
32,3,2,-16,19,-9,-103,-61,4
32,4,2,-16,18,-9,-107,-64,6
32,5,2,-18,19,-13,-112,-69,5
32,6,2,-18,17,-20,-108,-67,6
32,7,2,-20,20,-23,-122,-79,7
32,8,2,-22,20,-28,-126,-85,3
32,9,2,-24,22,-42,-138,-95,-2
32,10,2,-25,21,-47,-145,-97,4
32,11,2,-28,23,-57,-156,-108,9
32,12,2,-32,30,-66,-173,-120,8
32,13,2,-33,28,-76,-181,-125,13
32,14,2,-35,29,-83,-190,-137,15
32,15,2,-41,32,-101,-206,-152,18
33,1,2,-2,1,38,-22,-13,3
33,2,2,-1,0,43,-21,-13,5
33,3,2,-2,-2,37,-18,-17,5
33,4,2,-4,-3,30,-16,-23,6
33,5,2,-3,-5,22,-13,-22,7
33,6,2,-2,-8,17,-7,-23,6
33,7,2,4,-13,10,-8,-12,3
33,8,2,4,-12,4,-10,-12,3
33,9,2,5,-15,3,-6,-8,3
33,10,2,5,-12,5,-11,-10,3
33,11,2,6,-12,5,-12,-9,2
33,12,2,4,-10,6,-13,-12,2
33,13,2,6,-10,4,-13,-9,3
33,14,2,6,-9,4,-17,-8,3
33,15,2,6,-4,-14,-52,-20,0
34,1,4,8,4,-48,-86,-23,-5
34,2,4,13,7,-76,-114,-26,-11
34,3,4,18,9,-95,-140,-29,-16
34,4,4,19,17,-124,-189,-44,-21
34,5,4,16,19,-117,-183,-46,-19
34,6,4,13,17,-107,-176,-46,-17
34,7,4,12,15,-103,-172,-47,-13
34,8,4,12,17,-98,-167,-47,-14
34,9,4,11,16,-97,-165,-47,-16
34,10,4,11,16,-95,-163,-47,-15
34,11,4,10,16,-94,-161,-47,-15
34,12,4,10,16,-91,-160,-47,-14
34,13,4,10,17,-90,-159,-47,-14
34,14,4,10,16,-89,-158,-47,-14
34,15,4,9,16,-88,-157,-47,-14
35,1,4,-2,77,-487,179,227,36
35,2,4,-2,74,-472,177,221,34
35,3,4,-2,73,-462,175,218,32
35,4,4,-3,71,-456,173,213,32
35,5,4,-3,70,-451,173,212,31
35,6,4,-3,69,-444,171,209,31
35,7,4,-2,68,-441,171,207,31
35,8,4,-2,67,-437,170,205,30
35,9,4,-2,67,-434,170,203,30
35,10,4,-2,66,-431,169,202,29
35,11,4,-2,65,-429,169,202,29
35,12,4,-2,65,-426,168,200,28
35,13,4,-2,64,-424,168,199,29
35,14,4,-2,64,-421,168,199,29
35,15,4,-2,64,-420,167,198,29
36,1,2,-5,-2,48,7,-9,-1
36,2,2,-5,0,36,7,-9,-1
36,3,2,-4,-2,44,13,-9,-1
36,4,2,-4,-2,38,14,-9,-3
36,5,2,-5,0,32,12,-8,-1
36,6,2,-6,1,27,13,-10,0
36,7,2,-6,3,23,9,-11,-2
36,8,2,-5,1,24,10,-10,-2
36,9,2,-5,3,25,8,-9,0
36,10,2,-6,4,24,6,-9,0
36,11,2,0,1,24,11,0,-2
36,12,2,-2,4,11,8,2,2
36,13,2,-6,10,7,-1,-1,1
36,14,2,-4,7,13,9,3,2
36,15,2,-2,7,11,6,2,2
37,1,2,-15,-9,-26,70,-22,-11
37,2,2,-15,-8,-27,74,-20,-11
37,3,2,-14,-9,-26,76,-23,-12
37,4,2,-16,-10,-29,74,-22,-10
37,5,2,-14,-9,-24,80,-19,-11
37,6,2,-15,-10,-33,84,-15,-10
37,7,2,-14,-12,-43,93,-11,-11
37,8,2,-15,-12,-53,99,-10,-11
37,9,2,-16,-9,-71,96,-8,-12
37,10,2,-20,-9,-88,106,-8,-14
37,11,2,-24,-9,-90,111,-21,-15
37,12,2,-27,-12,-114,131,-20,-16
37,13,2,-26,-15,-138,151,-14,-16
37,14,2,-26,-15,-160,162,-4,-15
37,15,2,-28,-13,-181,172,1,-14
38,1,4,171,86,-486,-113,222,13
38,2,4,198,96,-566,-125,261,15
38,3,4,222,112,-667,-136,290,20
38,4,4,253,126,-780,-142,327,22
38,5,4,287,142,-930,-138,362,27
38,6,4,324,158,-1108,-133,389,29
38,7,4,338,162,-1145,-125,419,32
38,8,4,340,160,-1104,-124,433,35
38,9,4,339,158,-1077,-126,437,37
38,10,4,338,155,-1074,-122,462,39
38,11,4,336,154,-1051,-127,454,37
38,12,4,340,151,-1041,-140,458,39
38,13,4,339,154,-1036,-134,471,42
38,14,4,342,154,-1036,-118,466,44
38,15,4,342,154,-1036,-118,466,44
39,1,3,-1,-1,63,-3,-1,0
39,2,3,0,0,62,-3,-1,0
39,3,3,-1,-1,61,-3,0,0
39,4,3,-1,-1,63,-2,-1,0
39,5,3,-1,-1,63,-3,-1,0
39,6,3,-1,-1,63,-3,-1,0
39,7,3,-1,-1,63,-3,0,0
39,8,3,-1,-1,63,-3,-1,0
39,9,3,-1,-1,63,-3,-1,0
39,10,3,-1,-1,61,-3,0,0
39,11,3,-1,-1,61,-3,0,0
39,12,3,-1,-1,64,-3,-1,0
39,13,3,-1,-1,64,-3,-1,0
39,14,3,-1,-1,60,-3,0,0
39,15,3,-1,0,64,-2,-1,0
40,1,3,-1,-1,63,-2,-1,0
40,2,3,-1,-1,63,-3,-1,0
40,3,3,-1,-1,61,-3,0,0
40,4,3,0,-4,63,1,0,0
40,5,3,0,-1,59,-2,0,-1
40,6,3,-3,3,57,-8,-3,-1
40,7,3,-1,3,70,-10,-2,-1
40,8,3,0,-3,61,0,0,0
40,9,3,0,-2,53,-1,-2,0
40,10,3,0,-3,66,1,4,0
40,11,3,-3,3,58,-10,-5,0
40,12,3,-1,-1,66,-4,-2,0
40,13,3,-1,-2,67,-3,-1,0
40,14,3,0,1,66,-6,-3,-1
40,15,3,-1,-1,59,-3,-4,0
41,1,3,0,-1,59,-2,-1,-1
41,2,3,0,-3,61,-1,2,0
41,3,3,-2,1,56,-6,-3,0
41,4,3,1,-3,64,-1,4,0
41,5,3,-1,1,62,-7,1,-1
41,6,3,-1,0,60,-9,-5,-1
41,7,3,1,1,56,-5,0,0
41,8,3,1,-1,66,-4,2,1
41,9,3,-2,5,64,-15,-2,0
41,10,3,-1,2,58,-8,-4,0
41,11,3,0,1,70,-9,-2,-1
41,12,3,-1,1,64,-8,-6,-1
41,13,3,0,-1,67,-6,0,-1
41,14,3,0,-2,63,-4,0,0
41,15,3,-1,1,63,-8,-2,0
42,1,3,-1,2,57,-10,-3,0
42,2,3,-2,3,60,-12,-4,-1
42,3,3,-1,2,63,-12,-6,1
42,4,3,1,3,62,-11,0,0
42,5,3,-3,2,56,-9,-4,0
42,6,3,0,1,58,-8,-1,-1
42,7,3,-1,3,57,-11,-4,0
42,8,3,-2,3,61,-10,-5,0
42,9,3,-3,3,60,-11,-4,0
42,10,3,1,2,64,-9,0,-1
42,11,3,-1,2,60,-9,-5,0
42,12,3,-1,3,63,-12,-6,0
42,13,3,-1,0,52,-8,-2,0
42,14,3,-2,3,58,-13,-5,0
42,15,3,1,-2,59,-7,0,-1
43,1,3,-1,1,58,-11,-4,-1
43,2,3,0,0,64,-9,-3,0
43,3,3,0,0,61,-11,-2,0
43,4,3,-1,2,55,-13,-3,1
43,5,3,-1,1,51,-11,-4,0
43,6,3,0,3,58,-13,-4,0
43,7,3,-3,5,61,-18,-7,-1
43,8,3,2,1,69,-10,0,1
43,9,3,-1,1,61,-13,-5,-1
43,10,3,-2,3,57,-15,-6,-1
43,11,3,0,-2,57,-8,-4,1
43,12,3,-1,-2,58,-8,-4,1
43,13,3,-1,-1,56,-10,-3,0
43,14,3,0,0,57,-9,-4,0
43,15,3,-1,0,57,-9,-4,3
44,1,3,-1,-1,63,-3,-1,0
44,2,3,-1,-1,61,-2,-2,0
44,3,3,-1,-1,63,-3,0,0
44,4,3,-1,-1,64,-2,0,0
44,5,3,-1,-1,63,-2,-1,0
44,6,3,-1,-1,63,-3,0,0
44,7,3,-1,-1,63,-2,-1,0
44,8,3,-1,-1,63,-3,0,0
44,9,3,-1,-1,63,-3,-1,0
44,10,3,-1,-1,63,-3,0,0
44,11,3,0,0,63,-3,-1,0
